curs;nominal;date
65.85452727272728;1.0;2018-10-01
66.35568095238095;1.0;2018-11-01
67.33531363636364;1.0;2018-12-01
66.51254374999999;1.0;2019-01-01
65.810525;1.0;2019-02-01
65.09225714285715;1.0;2019-03-01
64.60310476190476;1.0;2019-04-01
64.81870555555555;1.0;2019-05-01
64.16905;1.0;2019-06-01
63.22268181818181;1.0;2019-07-01
65.58748260869565;1.0;2019-08-01
64.958705;1.0;2019-09-01
64.37499130434783;1.0;2019-10-01
63.86711904761904;1.0;2019-11-01
62.932538095238094;1.0;2019-12-01
61.81214705882353;1.0;2020-01-01
63.97975;1.0;2020-02-01
73.71944210526316;1.0;2020-03-01
74.76353333333333;1.0;2020-04-01
72.50029444444445;1.0;2020-05-01
69.196715;1.0;2020-06-01
71.29407391304348;1.0;2020-07-01
73.79810952380953;1.0;2020-08-01
75.72798636363636;1.0;2020-09-01
77.66354782608695;1.0;2020-10-01
76.83946842105263;1.0;2020-11-01
74.2167043478261;1.0;2020-12-01
74.392475;1.0;2021-01-01
74.3168157894737;1.0;2021-02-01
74.39713333333333;1.0;2021-03-01
76.14393181818183;1.0;2021-04-01
74.00427368421053;1.0;2021-05-01
72.61685714285714;1.0;2021-06-01
73.88989130434783;1.0;2021-07-01
73.58273333333334;1.0;2021-08-01
72.92621818181819;1.0;2021-09-01
71.45009090909092;1.0;2021-10-01
72.69891052631579;1.0;2021-11-01
73.76931304347826;1.0;2021-12-01
76.59474666666667;1.0;2022-01-01
77.16937368421053;1.0;2022-02-01
103.47004545454546;1.0;2022-03-01
77.89918636363636;1.0;2022-04-01
63.312741176470595;1.0;2022-05-01
57.178557142857144;1.0;2022-06-01
58.221399999999996;1.0;2022-07-01
60.391918181818184;1.0;2022-08-01
59.82150000000001;1.0;2022-09-01
61.11584285714286;1.0;2022-10-01
61.69085;1.0;2022-11-01
